
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D16,GPIO117,,PR0_PRU1_GPIO13,,,RGMII1_TD2,MII1_TXD2,,,GPIO117,TRC_DATA14,,XBAROUT11,,,,,
C17,GPIO118,,PR0_PRU1_GPIO14,,,RGMII1_TD3,MII1_TXD3,,,GPIO118,TRC_DATA15,,XBAROUT12,,,,,
A17,GPIO114,,PR0_PRU1_GPIO15,,RMII1_TX_EN,RGMII1_TX_CTL,MII1_TX_EN,,,GPIO114,TRC_DATA11,,,,,,,
C16,GPIO113,,PR0_PRU1_GPIO16,,,RGMII1_TXC,MII1_TXCLK,,,GPIO113,TRC_DATA10,,,,,,,
E10,VSS_E10,,,,,,,,,,,,,,,,,
C15,GPIO120,,PR0_PRU1_GPIO18,,UART3_TXD,PR0_IEP0_EDIO_DATA_IN_OUT31,,,GPMC0_A17,GPIO120,TRC_CTL,EQEP1_B,XBAROUT14,,,,,
D15,GPIO119,,PR0_PRU1_GPIO19,,UART3_RXD,PR0_IEP0_EDC_SYNC_OUT0,,,GPMC0_A19,GPIO119,TRC_CLK,EQEP1_A,XBAROUT13,,,,,
B16,GPIO122,,CLKOUT1,PR1_PRU0_GPIO7,UART2_RTSn,,PR1_UART0_CTSn,,GPMC0_A5,GPIO122,SDFM0_CLK0,EQEP1_STROBE,,,,,,
A16,GPIO124,,PR0_PRU1_GPIO7,CPTS0_TS_SYNC,PR1_PRU0_GPIO10,PR0_IEP0_EDC_SYNC_OUT1,PR1_UART0_RXD,,GPMC0_A8,GPIO124,SDFM0_CLK1,SDFM1_D0,UART2_TXD,UART5_RTSn,,,,
A15,GPIO128,,SPI2_D1,PR1_PRU1_GPIO14,,,,UART5_RXD,GPMC0_AD14,GPIO128,SDFM0_CLK3,SDFM1_D2,CHANNEL9,,,,,
B15,GPIO126,,UART1_CTSn,PR1_MDIO0_MDIO,SPI2_CS1,PR1_IEP0_EDC_SYNC_OUT1,UART5_CTSn,UART5_TXD,GPMC0_CLKLB,GPIO126,SDFM0_CLK2,SDFM1_D1,CHANNEL8,,,,,
D14,GPIO123,,PR0_ECAP0_APWM_OUT,PR1_PRU1_GPIO10,UART2_CTSn,PR1_ECAP0_APWM_OUT,PR1_UART0_RTSn,,GPMC0_AD10,GPIO123,SDFM0_D0,,,,,,,
D13,GPIO125,,PR0_PRU1_GPIO17,PR1_PRU1_GPIO13,UART2_RXD,PR0_IEP0_EDIO_DATA_IN_OUT30,PR1_UART0_TXD,UART5_CTSn,GPMC0_AD13,GPIO125,SDFM0_D1,,,,,,,
C13,GPIO127,,UART2_CTSn,PR1_MDIO0_MDC,SPI3_CS1,,,UART5_RXD,GPMC0_BE0n_CLE,GPIO127,SDFM0_D2,,CHANNEL0,,,,,
C14,GPIO129,,SPI2_CLK,PR1_PRU1_GPIO17,,,,UART5_TXD,GPMC0_WEn,GPIO129,SDFM0_D3,,CHANNEL1,,,,,
N11,VSS_N11,,,,,,,,,,,,,,,,,
M11,VSS_M11,,,,,,,,,,,,,,,,,
B14,GPIO130,,SPI2_D0,PR1_PRU1_GPIO18,UART4_RTSn,PR1_IEP0_EDC_SYNC_OUT0,I2C1_SDA,MCAN1_RX,GPMC0_OEn_REn,GPIO130,EQEP0_A,SDFM1_CLK0,,,,,,
A14,GPIO131,,SPI2_CS0,PR1_PRU0_GPIO19,UART4_CTSn,PR1_IEP0_EDIO_DATA_IN_OUT31,I2C1_SCL,MCAN1_TX,GPMC0_CSn0,GPIO131,EQEP0_B,SDFM1_D0,,,,,,
C12,GPIO132,,I2C2_SDA,PR1_PRU0_GPIO20,UART4_TXD,PR1_IEP0_EDIO_DATA_IN_OUT30,,,GPMC0_A15,GPIO132,EQEP0_STROBE,SDFM1_CLK1,CHANNEL2,,,,,
D11,GPIO133,,I2C2_SCL,PR1_PRU1_GPIO7,UART4_RXD,,,,GPMC0_AD7,GPIO133,EQEP0_INDEX,SDFM1_D1,CHANNEL3,,,,,
A13,GPIO135,,I2C0_SCL,,,,,,,GPIO135,,SDFM1_CLK3,,,,,,
B13,GPIO134,,I2C0_SDA,,,,,,,GPIO134,,SDFM1_CLK2,,,,,,
B12,GPIO136,,UART1_RTSn,SPI0_CS1,LIN0_RXD,UART3_RXD,,,,GPIO136,,SDFM1_D2,,,,,,
A12,GPIO137,,UART2_RTSn,EQEP1_INDEX,LIN0_TXD,UART3_TXD,,,,GPIO137,,SDFM1_D3,,,,,,
A11,GPIO12,,SPI0_CLK,PR1_PRU0_GPIO9,MMC_CMD,UART3_TXD,,FSITX0_CLK,GPMC0_A7,GPIO12,,CHANNEL1,XBAROUT1,,,,,
C11,GPIO11,,SPI0_CS0,PR1_PRU0_GPIO2,MMC_CLK,UART3_RXD,,,GPMC0_A0,GPIO11,,CHANNEL0,XBAROUT0,,,,,
C10,GPIO13,,SPI0_D0,PR1_PRU0_GPIO0,MMC_DAT0,UART3_CTSn,,FSITX0_D0,GPMC0_A16,GPIO13,,CHANNEL2,XBAROUT2,,,,,
B11,GPIO14,,SPI0_D1,PR1_PRU0_GPIO1,MMC_DAT1,UART3_RTSn,,FSITX0_D1,GPMC0_BE1n,GPIO14,,CHANNEL3,XBAROUT3,,,,,
L11,VSS_L11,,,,,,,,,,,,,,,,,
K11,VSS_K11,,,,,,,,,,,,,,,,,
A10,GPIO16,,SPI1_CLK,EPWM7_B,MMC_DAT3,UART4_RXD,,PR1_PRU1_GPIO3,FSIRX0_CLK,GPIO16,GPMC0_OEn_REn,CHANNEL5,XBAROUT2,,,,,
C9,GPIO15,,SPI1_CS0,EPWM7_A,MMC_DAT2,UART4_TXD,,PR1_PRU1_GPIO4,,GPIO15,GPMC0_WAIT0,CHANNEL4,XBAROUT1,,,,,
B10,GPIO17,,SPI1_D0,EPWM8_A,MMC_SDWP,UART5_TXD,OSPI0_ECC_FAIL,PR1_PRU1_GPIO16,FSIRX0_D0,GPIO17,GPMC0_DIR,CHANNEL6,XBAROUT3,,,,,
D10,VDDAR2,,,,,,,,,,,,,,,,,
D9,GPIO18,,SPI1_D1,EPWM8_B,MMC_SDCD,UART5_RXD,OSPI0_RESET_OUT0,PR1_PRU1_GPIO15,FSIRX0_D1,GPIO18,GPMC0_WPn,CHANNEL7,XBAROUT4,,,,,
A9,GPIO19,,LIN1_RXD,OSPI0_ECC_FAIL,SPI2_CS0,PR1_PRU1_GPIO6,OSPI1_ECC_FAIL,UART1_RXD,GPMC0_AD6,GPIO19,OSPI0_RESET_OUT1,,XBAROUT5,EPWM6_B,,,,
