
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
V19,GPIO30,,RGMII1_RX_CTL,RMII1_RX_ER,MII1_RXDV,OSPI1_D0,,,FSITX0_D0,GPIO30,,,,,,,,
V18,GPIO37,,RGMII1_TD0,RMII1_TXD0,MII1_TXD0,OSPI1_D7,,,,GPIO37,EQEP1_A,,,,,,,
V20,GPIO38,,RGMII1_TD1,RMII1_TXD1,MII1_TXD1,OSPI1_CSn0,,,,GPIO38,EQEP1_B,,,,,,,
U19,GPIO39,,RGMII1_TD2,RMII1_CRS_DV,MII1_TXD2,OSPI1_DQS,,,,GPIO39,EQEP1_STROBE,,,,,,,
M10,VSS_M10,,,,,,,,,,,,,,,,,
L10,VSS_L10,,,,,,,,,,,,,,,,,
T19,GPIO40,,RGMII1_TD3,PR0_PRU0_GPIO7,MII1_TXD3,OSPI1_ECC_FAIL,UART4_TXD,PR0_IEP0_EDC_SYNC_OUT1,PR1_IEP0_EDC_SYNC_OUT1,GPIO40,EQEP1_INDEX,,,,,,,
U20,GPIO35,,RGMII1_TXC,PR1_IEP0_EDIO_DATA_IN_OUT30,MII1_TXCLK,OSPI1_D5,UART4_RXD,,,GPIO35,EQEP0_INDEX,,,,,,,
T20,GPIO36,,RGMII1_TX_CTL,RMII1_TX_EN,MII1_TX_EN,OSPI1_D6,,,,GPIO36,EQEP0_STROBE,,,,,,,
K10,VSS_K10,,,,,,,,,,,,,,,,,
R17,GPIO41,,MDIO0_MDIO,MCAN1_RX,,OSPI1_RESET_OUT0,,,,GPIO41,,,,,,,,
J10,VSS_J10,,,,,,,,,,,,,,,,,
M16,VDDSHV_A_M16,,,,,,,,,,,,,,,,,
T18,GPIO42,,MDIO0_MDC,MCAN1_TX,,,,,,GPIO42,,,,,,,,
R20,GPIO86,,PR0_MDIO0_MDC,LIN0_TXD,MCAN0_TX,,,,,GPIO86,,,XBAROUT15,,,,,
R19,GPIO85,,PR0_MDIO0_MDIO,LIN0_RXD,MCAN0_RX,,,,,GPIO85,,,XBAROUT14,,,,,
P20,GPIO99,,PR0_PRU0_GPIO11,,RMII2_TXD0,RGMII2_TD0,MII2_TXD0,,,GPIO99,,,,,,,,
H10,VSS_H10,,,,,,,,,,,,,,,,,
P19,GPIO100,,PR0_PRU0_GPIO12,,RMII2_TXD1,RGMII2_TD1,MII2_TXD1,,,GPIO100,,,,,,,,
P18,GPIO98,,PR0_PRU0_GPIO15,,RMII2_TX_EN,RGMII2_TX_CTL,MII2_TX_EN,,,GPIO98,,,,,,,,
N17,GPIO93,,PR0_PRU0_GPIO0,PR1_PRU0_GPIO0,RMII2_RXD0,RGMII2_RD0,MII2_RXD0,,,GPIO93,TRC_DATA0,CHANNEL6,XBAROUT8,,,,,
G10,VSS_G10,,,,,,,,,,,,,,,,,
P11,VSS_P11,,,,,,,,,,,,,,,,,
J16,VDDSHV_A_J16,,,,,,,,,,,,,,,,,
N19,GPIO94,,PR0_PRU0_GPIO1,PR1_PRU0_GPIO1,RMII2_RXD1,RGMII2_RD1,MII2_RXD1,,,GPIO94,TRC_DATA1,CHANNEL7,XBAROUT11,,,,,
N20,GPIO91,,PR0_PRU0_GPIO6,I2C0_SCL,RMII2_REF_CLK,RGMII2_RXC,MII2_RXCLK,,,GPIO91,,,,,,,,
M18,GPIO95,,PR0_PRU0_GPIO2,PR1_PRU0_GPIO2,,RGMII2_RD2,MII2_RXD2,,,GPIO95,TRC_DATA2,CHANNEL8,XBAROUT12,,,,,
M20,GPIO96,,PR0_PRU0_GPIO3,UART3_TXD,,RGMII2_RD3,MII2_RXD3,,,GPIO96,TRC_DATA3,CHANNEL9,XBAROUT13,,,,,
N11,VSS_N11,,,,,,,,,,,,,,,,,
L20,GPIO92,,PR0_PRU0_GPIO4,UART3_RXD,,RGMII2_RX_CTL,MII2_RXDV,,,GPIO92,TRC_CLK,CHANNEL5,XBAROUT7,,,,,
M19,GPIO97,,PR0_PRU0_GPIO16,,,RGMII2_TXC,MII2_TXCLK,,,GPIO97,,,,,,,,
K20,GPIO101,,PR0_PRU0_GPIO13,,,RGMII2_TD2,MII2_TXD2,,,GPIO101,,,,,,,,
E16,VDDSHV_A_E16,,,,,,,,,,,,,,,,,
L19,GPIO102,,PR0_PRU0_GPIO14,,,RGMII2_TD3,MII2_TXD3,,,GPIO102,,,,,,,,
M11,VSS_M11,,,,,,,,,,,,,,,,,
K17,VNWA_K17,,,,,,,,,,,,,,,,,
K19,GPIO87,,PR0_PRU0_GPIO5,UART3_RTSn,RMII2_RX_ER,,MII2_RX_ER,,,GPIO87,TRC_CTL,CHANNEL4,XBAROUT6,,,,,
J20,GPIO89,,PR0_PRU0_GPIO10,UART3_CTSn,RMII2_CRS_DV,PR0_UART0_RTSn,MII2_CRS,,,GPIO89,,,,,,,,
J19,GPIO88,,PR0_PRU0_GPIO9,PR1_PRU0_GPIO9,PR0_IEP0_EDC_SYNC_OUT1,PR0_UART0_CTSn,MII2_COL,,,GPIO88,,,,,,,,
J18,GPIO90,,PR0_PRU0_GPIO8,I2C0_SDA,,,,,,GPIO90,,,,,,,,
